省内频道,#genre#
湖南卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225719/index.m3u8?
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
湖南卫视,http://ivi.bupt.edu.cn/hls/hunanhd.m3u8
湖南卫视,http://121.31.30.91:8081/ysten-business/live/hdhunanstv/1.m3u8
浙江卫视,http://223.110.243.173/PLTV/3/224/3221227215/index.m3u8
浙江卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225695/index.m3u8?
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225643/index.m3u8
浙江卫视,http://121.31.30.91:8081/ysten-business/live/hdzhejiangstv/1.m3u8
江苏卫视,http://39.134.39.39/PLTV/88888888/224/3221226157/index.m3u8
江苏卫视,http://112.17.40.140/PLTV/88888888/224/3221226414/index.m3u8
江苏卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225636/index.m3u8?
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225644/index.m3u8
江苏卫视,http://ivi.bupt.edu.cn/hls/jshd.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
东南卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225696/index.m3u8?
东南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225620/index.m3u8
山东卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225642/index.m3u8?
山东卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225672/index.m3u8?
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225737/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225650/index.m3u8
山东卫视,http://ivi.bupt.edu.cn/hls/sdhd.m3u8
湖北卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225689/index.m3u8?
湖北卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225721/index.m3u8?
湖北卫视,http://223.110.243.171/PLTV/3/224/3221227211/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225705/index.m3u8
湖北卫视,http://ivi.bupt.edu.cn/hls/hbhd.m3u8
湖北卫视,http://121.31.30.91:8081/ysten-business/live/hubeistv/1.m3u8
安徽卫视,http://39.134.66.66/PLTV/88888888/224/3221225675/index.m3u8
安徽卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225671/index.m3u8?
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225631/index.m3u8
安徽卫视,http://125.210.152.18:9090/live/AHWSHD_H265.m3u8
安徽卫视,http://ivi.bupt.edu.cn/hls/ahhd.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225727/index.m3u8
广东卫视,http://39.134.66.66/PLTV/88888888/224/3221225667/index.m3u8
广东卫视,http://112.17.40.140/PLTV/88888888/224/3221226225/index.m3u8
广东卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225666/index.m3u8?
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225699/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225736/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225641/index.m3u8
广东卫视,http://ivi.bupt.edu.cn/hls/gdhd.m3u8
广东卫视,http://121.31.30.91:8081/ysten-business/live/hdguangdongstv/1.m3u8
深圳卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
深圳卫视,http://223.110.243.171/PLTV/3/224/3221227217/index.m3u8
深圳卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225691/index.m3u8?
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225645/index.m3u8
深圳卫视,http://121.31.30.90:8085/ysten-business/live/hdshenzhenstv/1.m3u8
深圳卫视,http://121.31.30.91:8081/ysten-business/live/hdshenzhenstv/1.m3u8
辽宁卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225639/index.m3u8?
辽宁卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225779/index.m3u8?
辽宁卫视,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227410/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
辽宁卫视,http://ivi.bupt.edu.cn/hls/lntv.m3u8
辽宁卫视,http://121.31.30.91:8081/ysten-business/live/liaoningstv/1.m3u8
黑龙江卫视,http://39.134.116.30:8080/PLTV/88888910/224/3221225690/index.m3u8
黑龙江卫视,http://112.17.40.140/PLTV/88888888/224/3221226555/index.m3u8
黑龙江卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225686/index.m3u8?
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225640/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225658/index.m3u8
黑龙江卫视,http://ivi.bupt.edu.cn/hls/hljhd.m3u8
黑龙江卫视,http://121.31.30.91:8081/ysten-business/live/hdheilongjiangstv/1.m3u8
江西卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225669/index.m3u8?
江西卫视,http://112.17.40.140/PLTV/88888888/224/3221226557/index.m3u8
江西卫视,http://112.17.40.8:80/PLTV/88888888/224/3221226557/index.m3u8
江西卫视,http://121.31.30.91:8081/ysten-business/live/jiangxistv/1.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225615/index.m3u8
吉林卫视,http://116.199.5.52:8114/00000000/index.m3u8?&amp;Fsv_ctype=LIVES&amp;Fsv_otype=1&amp;FvSeid=5abd1660af1babb4&amp;Fsv_filetype=1&amp;Fsv_ctype=LIVES&amp;Fsv_cid=0&amp;Fsv_chan_hls_se_idx=25&amp;Fsv_rate_id=0&amp;Fsv_SV_PARAM1=0&amp;Fsv_ShiftEnable=0&amp;Fsv_ShiftTsp=0&amp;Provider_id=&amp;Pcontent_id=&amp;Fsv_CMSID=&amp;Fsv_otype=1
吉林卫视,http://39.134.168.91/PLTV/1/224/3221225586/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225637/index.m3u8
吉林卫视,http://ivi.bupt.edu.cn/hls/jltv.m3u8
吉林卫视,http://121.31.30.91:8081/ysten-business/live/jilinstv/1.m3u8
河南卫视,http://39.134.168.91/PLTV/1/224/3221225584/index.m3u8
河南卫视,http://223.110.245.157/ott.js.chinamobile.com/PLTV/3/224/3221225815/index.m3u8
海南卫视,http://39.134.39.37/PLTV/88888888/224/3221226301/index.m3u8
海南卫视,http://39.134.39.39/PLTV/88888888/224/3221226301/index.m3u8
海南卫视,http://livelyws.chinamcache.com/lyws/zb01.m3u8?auth_key=1593241343-0-0-90b80e74457c94b2015f9428a1cb9b0e
海南卫视,http://121.31.30.91:8081/ysten-business/live/lvyoustv/1.m3u8
云南卫视,http://39.130.215.166:6410/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8
云南卫视,http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221225838/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225636/index.m3u8
云南卫视,http://ivi.bupt.edu.cn/hls/yntv.m3u8
贵州卫视,http://ivi.bupt.edu.cn/hls/gztv.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225626/index.m3u8
贵州卫视,http://121.31.30.91:8081/ysten-business/live/guizhoustv/1.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225621/index.m3u8
四川卫视,http://121.31.30.91:8081/ysten-business/live/sichuanstv/1.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225623/index.m3u8
河北卫视,http://121.31.30.91:8081/ysten-business/live/hebeistv/1.m3u8
重庆卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225745/index.m3u8?
重庆卫视,http://ivi.bupt.edu.cn/hls/cqhd.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8
重庆卫视,http://121.31.30.91:8081/ysten-business/live/chongqingstv/1.m3u8
甘肃卫视,http://39.134.39.39/PLTV/88888888/224/3221226240/index.m3u8
